-1	-1	10939	-1	5272
-1	-1	7295	5298	-1
-1	-1	16659	5174	-1
-1	-1	5136	1033	-1
-1	-1	341	1634	-1
-1	-1	11314	2565	-1
-1	2105	-1	-1	5757
-1	1987	-1	604	-1
-1	719	-1	2781	-1
-1	1966	13457	-1	-1
-1	7038	12752	-1	-1
-1	7768	6226	-1	-1
-1	5898	4485	-1	-1
1138	-1	-1	-1	938
3961	-1	7942	-1	-1
2676	-1	14908	-1	-1
2147	-1	10723	-1	-1
-1	-1	18264	3397	-1
-1	-1	7485	2458	-1
-1	-1	965	8004	-1
-1	565	-1	9122	-1
-1	117	6334	-1	-1
-1	2196	576	-1	-1
-1	7316	6247	-1	-1
-1	1601	3983	-1	-1
-1	4362	5702	-1	-1
1587	-1	1371	-1	-1
3110	469	-1	-1	-1
-1	-1	18821	10469	-1
-1	-1	8497	6	-1
-1	-1	7739	849	-1
-1	3020	15567	-1	-1
-1	1210	3563	-1	-1
-1	437	1853	-1	-1
-1	6407	16029	-1	-1
-1	2756	11700	-1	-1
-1	7409	17502	-1	-1
-1	7529	15782	-1	-1
4517	193	-1	-1	-1
420	6688	-1	-1	-1
-1	-1	11352	1053	-1
-1	3295	17629	-1	-1
-1	5414	9083	-1	-1
-1	1230	4337	-1	-1
2654	-1	16335	-1	-1
-1	-1	7417	-1	5516
-1	-1	14867	320	-1
-1	-1	17314	6901	-1
-1	-1	9153	8528	-1
-1	-1	6291	3999	-1
-1	-1	4598	4310	-1
-1	446	-1	-1	6217
-1	4935	-1	-1	6159
-1	6861	-1	2563	-1
-1	8388	-1	5641	-1
-1	1200	18431	-1	-1
-1	6242	4632	-1	-1
-1	2904	4178	-1	-1
-1	3443	18642	-1	-1
-1	1113	7282	-1	-1
-1	5636	895	-1	-1
77	-1	17597	-1	-1
-1	-1	16045	4507	-1
-1	-1	7394	9054	-1
-1	-1	14290	6812	-1
-1	-1	12583	798	-1
-1	-1	1004	1046	-1
-1	705	-1	-1	1261
-1	4387	-1	-1	5842
-1	5068	-1	-1	759
-1	8264	18440	-1	-1
-1	1749	7134	-1	-1
-1	7747	14759	-1	-1
-1	7206	11334	-1	-1
-1	7576	18925	-1	-1
-1	6430	3900	-1	-1
-1	3218	4831	-1	-1
1194	-1	-1	1189	-1
3258	-1	15612	-1	-1
2374	-1	6295	-1	-1
4196	2294	-1	6680	-1
885	1007	-1	-1	-1
-1	-1	2973	1730	-1
-1	-1	1791	5139	-1
-1	-1	6730	8113	-1
-1	7498	11349	3673	-1
-1	-1	18827	542	-1
-1	7619	514	-1	-1
-1	5505	15322	-1	-1
-1	885	18791	-1	-1
844	-1	15167	-1	-1
3121	-1	4787	-1	-1
3296	4109	14443	8583	-1
-1	-1	892	5127	-1
-1	-1	17217	10301	-1
-1	-1	11220	6419	-1
-1	-1	9567	6567	-1
-1	-1	2838	7462	-1
-1	848	11156	10084	-1
-1	6367	5350	-1	-1
-1	2368	16875	-1	-1
-1	8311	13078	-1	-1
-1	2434	3420	3365	-1
-1	972	7387	-1	-1
-1	5198	2153	10501	-1
-1	5419	10490	-1	-1
-1	2532	13550	-1	-1
-1	7484	12445	-1	-1
-1	1723	16166	-1	-1
-1	6608	17751	-1	-1
-1	6206	2388	-1	-1
4112	-1	18432	-1	-1
1567	-1	6620	-1	-1
117	-1	10443	5096	-1
1386	5251	-1	-1	-1
483	5511	4465	9977	-1
4534	6640	-1	-1	-1
3322	4108	-1	-1	-1
-1	-1	6168	-1	3309
-1	-1	14631	-1	3885
-1	-1	16206	8731	-1
-1	-1	13484	5457	-1
-1	-1	18733	6298	-1
-1	1516	1403	-1	-1
-1	7968	8016	-1	-1
-1	6068	5128	-1	-1
-1	400	4095	-1	-1
-1	8010	2096	-1	-1
-1	-1	13126	-1	3562
-1	-1	9458	1679	-1
-1	6811	-1	-1	5612
-1	5580	10317	-1	-1
-1	3050	18723	-1	-1
-1	2106	13926	-1	-1
-1	1853	16456	-1	-1
-1	8323	2520	4220	-1
-1	1280	16648	-1	-1
210	-1	133	-1	-1
2710	-1	7777	-1	-1
3487	3125	18708	9594	1647
-1	-1	7438	5536	-1
-1	-1	6399	4526	-1
-1	-1	9526	7614	-1
-1	1481	7897	8520	-1
-1	8395	1206	10626	-1
-1	6467	11022	-1	-1
1640	-1	17188	-1	-1
2176	3535	-1	-1	-1
-1	-1	4600	4882	-1
-1	-1	17475	6549	-1
-1	4536	-1	237	-1
-1	2575	1947	-1	-1
